Date,Team,Acquired,Relinquished,Notes,Year
2014-11-08,Chiefs,Joe Mays,,activated from IR,2014
2014-11-08,Packers,,Kevin Dorsey,placed on IR with foot injury,2014
2014-11-08,Ravens,,Jimmy Smith,placed on IR with foot injury,2014
2014-11-08,Seahawks,,Stephen Schilling,placed on IR with knee injury,2014
2014-11-08,Seahawks,Jeremy Lane,,activated from IR,2014
2014-11-10,Cardinals,,Carson Palmer,placed on IR with torn ACL in left knee,2014
2014-11-10,Dolphins,,Branden Albert,"placed on IR with torn ACL, MCL in right knee",2014
2014-11-11,49ers,,Patrick Willis,placed on IR with left big toe injury,2014
2014-11-11,Buccaneers,,Kadeem Edwards,placed on IR with foot injury,2014
2014-11-11,Chiefs,,Cyrus Gray,placed on IR with torn ACL in knee,2014
2014-11-11,Chiefs,,Demetrius Harris,placed on IR with fractured right foot,2014
2014-11-11,Jaguars,,Allen Robinson II,placed on IR with fractured right foot,2014
2014-11-11,Jaguars,Aaron Colvin,,activated from non-football injury list (E S) / physically unable to perform list (CBS),2014
2014-11-11,Redskins,Barry Cofield Jr.,,activated from IR,2014
2014-11-11,Seahawks,,Brandon Mebane,placed on IR with torn right hamstring,2014
2014-11-11,Seahawks,,Demitrius Bronson,placed on practice squad IR with undisclosed injury,2014
2014-11-11,Seahawks,,Julius Warmsley,placed on practice squad IR with undisclosed injury,2014
2014-11-12,Giants,,Michael Cox,placed on IR with fractured left leg,2014
2014-11-12,Saints,,Vinnie Sunseri,placed on IR with arm injury,2014
2014-11-12,Seahawks,,Zach Miller (a),placed on IR with ankle injury,2014
2014-11-13,Broncos,,Nate Irving,placed on IR with right knee injury,2014
2014-11-13,Jaguars,Nathan Slaughter,,activated from IR,2014
2014-11-14,Bears,Marquess Wilson,,activated from IR,2014
2014-11-14,Browns,,Phil Taylor,placed on IR with right knee injury,2014
2014-11-14,Buccaneers,,Jeremy Grable,placed on practice squad IR with undisclosed injury,2014
2014-11-14,Dolphins,,Will Davis,placed on IR with torn ACL in knee,2014
2014-11-15,49ers,,Jimmie Ward,placed on IR with foot injury,2014
2014-11-15,Chargers,,Jason Verrett,placed on IR with shoulder injury,2014
2014-11-15,Chargers,Melvin Ingram,,activated from IR,2014
2014-11-15,Giants,,Peyton Hillis,placed on IR with concussion,2014
2014-11-17,49ers,,Ian Williams (f),placed on IR with fractured fibula,2014
2014-11-17,49ers,Glenn Dorsey,,activated from IR,2014
2014-11-17,Bills,,Leodis McKelvin,placed on IR with fractured right ankle,2014
2014-11-17,Falcons,,Antone Smith,placed on IR with fractured leg,2014
2014-11-17,Giants,Geoff Schwartz,,activated from IR,2014
2014-11-17,Jaguars,Marcedes Lewis,,activated from IR,2014
2014-11-17,Buccaneers,Trindon Holliday,,activated from IR,2014
2014-11-17,Raiders,Kaluka Maiava,,activated from IR,2014
2014-11-18,Cardinals,,Troy Niklas,placed on IR with sprained left ankle,2014
2014-11-18,Colts,,Ahmad Bradshaw,placed on IR with fractured left fibula,2014
2014-11-18,Eagles,,Earl Wolff,placed on IR with knee injury,2014
2014-11-18,Panthers,,Nate Chandler,placed on IR with torn meniscus in right knee,2014
2014-11-18,Panthers,Mike Tolbert,,activated from IR,2014
2014-11-18,Saints,,Brandin Cooks,placed on IR with fractured right thumb,2014
2014-11-18,Saints,,Rafael Bush,placed on IR with fractured right tibia,2014
2014-11-18,Texans,Ricky Sapp,,activated from IR,2014
2014-11-21,Chiefs,,A.J. Jenkins (b),placed on IR with shoulder injury,2014
2014-11-21,Falcons,Drew Davis (a),,activated from physically unable to perform list,2014
2014-11-22,Redskins,Akeem Jordan,,activated from IR,2014
2014-11-24,Buccaneers,,Jorvorskie Lane,placed on IR with right leg injury,2014
2014-11-24,Chiefs,,Darin Drakeford,placed on practice squad IR with undisclosed injury,2014
2014-11-24,Chiefs,,Eric Berry,placed on non-football injury list with illness,2014
2014-11-24,Redskins,,Adam Hayward,placed on IR with fractured tibia,2014
2014-11-24,Texans,,Ryan Mallett,placed on IR with torn pectoral muscle,2014
2014-11-24,Vikings,,Phil Loadholt,placed on IR with torn pectoral muscle,2014
2014-11-25,Browns,,Andre Smith (b),placed on IR with torn left triceps,2014
2014-11-25,Chargers,,Rich Ohrnberger,placed on IR with back injury,2014
2014-11-25,Titans,,Brian Schwenke,placed on IR with knee injury,2014
2014-11-26,Bears,,Brian De La Puente,placed on IR with ankle injury,2014
2014-11-26,Cowboys,,Jack Crawford,placed on IR with fractured thumb,2014
2014-11-26,Raiders,,David Ausberry,placed on IR with foot injury,2014
2014-11-26,Ravens,,Konrad Reuland,placed on practice squad IR with undisclosed injury,2014
2014-11-26,Redskins,,Tracy Porter (O'Neil),placed on IR with shoulder injury,2014
2014-11-27,49ers,,Derek Carrier,placed on IR with foot injury,2014
2014-11-27,49ers,Garrett Celek,,activated from physically unable to perform list,2014
2014-11-27,Saints,,Brodrick Bunkley,placed on IR with torn quadriceps,2014
2014-11-28,Bears,,Lance Briggs,placed on IR with groin injury,2014
2014-11-28,Falcons,William Moore,,activated from IR,2014
2014-11-28,Seahawks,,Kevin Pierre-Louis,placed on IR with shoulder injury,2014
2014-11-29,Raiders,,Carlos Rogers,placed on IR with knee injury,2014
2014-11-29,Rams,Chris Long,,activated from IR,2014
2014-12-01,Bengals,,Jayson DiManche,placed on IR with fractured forearm,2014
2014-12-01,Giants,,Adam Snyder,placed on IR with knee injury,2014
2014-12-01,Giants,,Geoff Schwartz,placed on IR with ankle injury,2014
2014-12-01,Giants,,Mathias Kiwanuka,placed on IR with knee injury,2014
2014-12-01,Giants,,Robert Ayers Jr.,placed on IR with pectoral muscle injury,2014
2014-12-01,Giants,,Terrell Manning,placed on IR with ankle injury,2014
2014-12-01,Steelers,,Brett Keisel,placed on IR with triceps injury,2014
2014-12-01,Titans,,Justin Hunter,placed on IR with lacerated spleen,2014
2014-12-01,Bengals,J.K. Schaffer,,activated from IR,2014
2014-12-02,Dolphins,,LaRon Byrd,placed on practice squad IR with undisclosed injury,2014
2014-12-02,Chargers,Kwame Geathers,,activated from IR,2014
2014-12-03,Browns,,Miles Austin,placed on IR with kidney ailment,2014
2014-12-03,Jaguars,,Austin Pasztor,placed on IR with hamstring injury,2014
2014-12-03,Texans,,Max Bullough,placed on IR with hamstring injury,2014
2014-12-03,Cowboys,Jordan Najvar,,activated from IR,2014
2014-12-04,Bears,,Chris Williams (b. 1987-09-16),placed on IR with hamstring injury,2014
2014-12-04,Chargers,,Ryan Miller,placed on non-football injury list with concussion,2014
2014-12-04,Jets,,Greg Salas,placed on IR with hamstring injury,2014
2014-12-04,Patriots,,Aaron Dobson,placed on IR with hamstring injury,2014
2014-12-05,Cardinals,Matt Shaughnessy,,activated from IR,2014
2014-12-06,Patriots,Sealver Siliga,,activated from IR,2014
2014-12-06,Raiders,,Jonathan Dowling,placed on IR with back injury,2014
2014-12-06,Ravens,,Tramain Jacobs,placed on IR with thigh injury,2014
2014-12-06,Ravens,Asa Jackson,,activated from IR,2014
2014-12-06,Redskins,,Chase Minnifield,placed on IR with concussion,2014
2014-12-06,Steelers,,Cortez Allen,placed on IR with thumb injury,2014
2014-12-06,Steelers,Jarvis Jones,,activated from IR,2014
2014-12-06,Vikings,,Jerick McKinnon,placed on IR with back injury,2014
2014-12-06,Bears,Chris Williams (b. 1987-09-16),,activated from IR,2014
2014-12-08,Bears,,Brandon Marshall (Tyrone),placed on IR with fractured ribs,2014
2014-12-08,Buccaneers,,Brandon Magee,placed on IR with torn pectoral muscle,2014
2014-12-08,Cardinals,,Andre Ellington,placed on IR with hip injury,2014
2014-12-08,Dolphins,,Louis Delmas,placed on IR with knee injury,2014
2014-12-08,Packers,,Luther Robinson,placed on IR with calf injury,2014
2014-12-08,Ravens,,Danny Gorrer,"placed on IR with torn MCL, PCL in knee",2014
2014-12-08,Chargers,Ryan Miller,,activated from IR (CBS),2014
2014-12-08,Chargers,,Ryan Miller,placed on IR (NFL),2014
2014-12-09,49ers,,Vance McDonald,placed on IR with back injury,2014
2014-12-09,49ers,NaVorro Bowman,,activated from physically unable to perform list,2014
2014-12-09,Bengals,,Vontaze Burfict,placed on IR with knee injury,2014
2014-12-09,Bengals,A.J. McCarron,,activated from non-football injury list,2014
2014-12-09,Bills,,Mike Williams (Anthony),placed on IR with calf injury,2014
2014-12-09,Titans,,Blidi Wreh-Wilson,placed on IR with shoulder injury,2014
2014-12-09,Lions,Montell Owens,,activated from IR,2014
2014-12-09,Panthers,Matt Blanchard,,activated from IR,2014
2014-12-10,Cowboys,,Lavar Edwards,placed on practice squad IR with undisclosed injury,2014
2014-12-10,Lions,,Joseph Fauria,placed on IR with ankle injury,2014
2014-12-10,Texans,,Jadeveon Clowney,placed on IR with right knee injury (microfracture surgery),2014
2014-12-10,Vikings,,Michael Mauti,placed on IR with knee injury,2014
2014-12-11,Bears,,D.J. Williams (a),placed on IR with neck injury,2014
2014-12-11,Redskins,,Morgan Moses,placed on IR with foot injury,2014
2014-12-12,Bears,,Darryl Sharpton,placed on IR with hamstring injury,2014
2014-12-12,Texans,,Tim Jamison,placed on IR with knee injury,2014
2014-12-13,49ers,,Glenn Dorsey,placed on IR with forearm injury / torn left biceps (CBS),2014
2014-12-13,49ers,,NaVorro Bowman,placed on IR with left knee injury,2014
2014-12-13,Broncos,,Montee Ball,placed on IR with groin injury,2014
2014-12-13,Broncos,,Quinton Carter,placed on IR with knee injury,2014
2014-12-13,Broncos,Danny Trevathan,,activated from IR,2014
2014-12-13,Dolphins,,Anthony Johnson (b. 1993-01-24),placed on IR with ankle injury,2014
2014-12-13,Packers,,Jamari Lattimore,placed on IR with ankle injury,2014
2014-12-13,Raiders,,Larry Asante,placed on IR with shoulder injury,2014
2014-12-13,Ravens,,Jah Reid,placed on IR with hand injury,2014
2014-12-13,Titans,,Michael Oher,placed on IR with toe injury,2014
2014-12-15,Bills,C.J. Spiller,,activated from IR,2014
2014-12-15,Buccaneers,,Austin Seferian-Jenkins,placed on IR with back injury,2014
2014-12-15,Buccaneers,,Gerald McCoy,placed on IR with sprained right knee,2014
2014-12-15,Buccaneers,,Louis Murphy Jr.,placed on IR with ankle injury,2014
2014-12-15,Chargers,,Donald Butler,placed on IR with dislocated elbow,2014
2014-12-15,Falcons,,Robert Alford,placed on IR with wrist injury,2014
2014-12-15,Ravens,,Asa Jackson,placed on IR with knee injury,2014
2014-12-15,Texans,,Ryan Fitzpatrick,placed on IR with fractured left leg,2014
2014-12-15,Titans,,Jake Locker,placed on IR with left shoulder injury,2014
2014-12-15,Redskins,Chase Minnifield,,activated from IR,2014
2014-12-16,49ers,,Kassim Osgood,placed on IR with fractured hand,2014
2014-12-16,Broncos,,Danny Trevathan,placed on IR with dislocated left kneecap,2014
2014-12-16,Cardinals,,Ed Stinson,placed on IR with toe injury,2014
2014-12-16,Giants,,Jacquian Williams,placed on IR with concussion,2014
2014-12-16,Giants,,James Brewer,placed on IR with concussion,2014
2014-12-16,Jaguars,,Denard Robinson,placed on IR with foot injury,2014
2014-12-16,Raiders,,Sio Moore,placed on IR with hip injury,2014
2014-12-16,Ravens,,Lorenzo Taliaferro,placed on IR with foot injury,2014
2014-12-16,Ravens,,Terrence Brooks,placed on IR with knee injury,2014
2014-12-16,Redskins,,Colt McCoy,placed on IR with neck injury,2014
2014-12-16,Texans,,Travis Labhart,placed on practice squad IR with undisclosed injury,2014
2014-12-16,Titans,,Brett Brackett,placed on IR with knee injury,2014
2014-12-17,49ers,,Garrett Celek,placed on IR with back injury,2014
2014-12-17,Chiefs,,Armon Binns,placed on practice squad IR with undisclosed injury,2014
2014-12-17,Jaguars,,Khairi Fortt,placed on IR with hamstring injury,2014
2014-12-17,Lions,,LaAdrian Waddle,placed on IR with left knee injury,2014
2014-12-17,Patriots,,Dominique Easley,placed on IR with knee injury,2014
2014-12-18,Ravens,,Kevin McDermott,placed on IR with undisclosed injury,2014
2014-12-18,Titans,,Dexter McCluster,placed on IR with knee injury,2014
2014-12-19,Redskins,,Brandon Meriweather,placed on IR with toe injury,2014
2014-12-20,49ers,,Chris Borland,placed on IR with ankle injury,2014
2014-12-20,Browns,,Tashaun Gipson,placed on IR with knee injury,2014
2014-12-20,Buccaneers,,Major Wright,placed on IR with rib injury,2014
2014-12-20,Raiders,,Tarell Brown,placed on IR with foot injury,2014
2014-12-22,Chargers,,Johnnie Troutman,placed on IR with knee injury (CBC),2014
2014-12-22,Panthers,,De'Andre Presley,placed on IR with concussion,2014
2014-12-22,Bills,Mike Williams (Anthony),,activated from IR,2014
2014-12-23,Bears,,Willie Young (James),placed on IR with torn Achilles tendon,2014
2014-12-23,Dolphins,,Jamar Taylor,placed on IR with shoulder injury,2014
2014-12-23,Dolphins,,Nate Garner,placed on non-football injury list with illness,2014
2014-12-23,Falcons,,William Moore,placed on IR with shoulder injury,2014
2014-12-23,Ravens,,Rick Wagner / Ricky Wagner,placed on IR with foot injury,2014
2014-12-23,Redskins,,Trent Murphy,placed on IR with hand injury,2014
2014-12-24,Browns,,Ishmaa'ily Kitchen,placed on IR with leg injury,2014
2014-12-24,Browns,,Johnny Manziel,placed on IR with hamstring injury,2014
2014-12-24,Browns,John Hughes III,,activated from IR,2014
2014-12-24,Raiders,,Brian Leonhardt,placed on IR with concussion,2014
2014-12-26,49ers,,Alex Boone,placed on IR with knee injury,2014
2014-12-26,49ers,,Raymond Ventrone / Bubba Ventrone,placed on IR with groin injury,2014
2014-12-26,Saints,,Akiem Hicks,placed on IR with ankle injury,2014
2014-12-26,Saints,,Pierre Thomas,placed on IR with rib injury,2014
2014-12-27,Chargers,,Mike Scifres,placed on IR with shoulder injury,2014
2014-12-27,Jets,,Rontez Miles,placed on IR with shin injury,2014
2014-12-27,Patriots,,Alfonzo Dennard,placed on IR with hamstring injury,2014
2014-12-27,Redskins,,Jason Hatcher,placed on IR with knee injury,2014
2014-12-27,Saints,,Johnathan Jenkins / John Jenkins,placed on IR with abdominal injury,2014
2014-12-27,Vikings,,Anthony Barr,placed on IR with knee injury,2014
2014-12-30,Cardinals,,Andre Hardy,placed on practice squad IR with undisclosed injury,2014
2014-12-30,Cowboys,,Henry Melton,placed on IR with knee injury,2014
2014-12-31,Bengals,,Dane Sanzenbacher,placed on IR with concussion,2014
2014-12-31,Colts,,Gosder Cherilus,placed on IR with groin injury,2014
2015-01-01,Steelers,,Tim Benford,placed on practice squad IR with undisclosed injury,2014
2015-01-02,Ravens,,Arthur Brown,placed on IR with hamstring injury,2014
2015-01-06,Colts,,Hugh Thornton,placed on IR with shoulder injury,2014
2015-01-06,Seahawks,,Jordan Hill,placed on IR with ankle/calf injury,2014
2015-01-08,Chargers,Jeromey Clary,,activated from physically unable to perform list,2014
2015-01-10,Broncos,,Quanterus Smith,placed on IR with knee injury,2014
2015-01-12,Seahawks,,Paul Richardson Jr.,placed on IR with torn ACL in knee,2014
2015-01-15,Colts,,Josh McNary,placed on commissioner's exempt list,2014
2015-02-02,49ers,Alex Boone,,activated from IR,2014
2015-02-02,49ers,Brandon Thomas,,activated from physically unable to perform list,2014
2015-02-02,49ers,Chris Borland,,activated from IR,2014
2015-02-02,49ers,Chris Cook (a),,activated from IR,2014
2015-02-02,49ers,Chuck Jacobs,,activated from IR,2014
2015-02-02,49ers,Daniel Kilgore,,activated from IR,2014
2015-02-02,49ers,Derek Carrier,,activated from IR,2014
2015-02-02,49ers,Fouimalo Fonoti / Fou Fonoti,,activated from IR,2014
2015-02-02,49ers,Garrett Celek,,activated from IR,2014
2015-02-02,49ers,Glenn Dorsey,,activated from IR,2014
2015-02-02,49ers,Ian Williams (f),,activated from IR,2014
2015-02-02,49ers,Jimmie Ward,,activated from IR,2014
2015-02-02,49ers,Kaleb Ramsey,,activated from physically unable to perform list,2014
2015-02-02,49ers,Kassim Osgood,,activated from IR,2014
2015-02-02,49ers,Keith Reaser,,activated from physically unable to perform list,2014
2015-02-02,49ers,Kendall Hunter,,activated from IR,2014
2015-02-02,49ers,Kenneth Acker,,activated from IR,2014
2015-02-02,49ers,NaVorro Bowman,,activated from IR,2014
2015-02-02,49ers,Patrick Willis,,activated from IR,2014
2015-02-02,49ers,Raymond Ventrone / Bubba Ventrone,,activated from IR,2014
2015-02-02,49ers,Trey Millard,,activated from physically unable to perform list,2014
2015-02-02,49ers,Vance McDonald,,activated from IR,2014
2015-02-02,Bears,Brandon Marshall (Tyrone),,activated from IR,2014
2015-02-02,Bears,Brian De La Puente,,activated from IR,2014
2015-02-02,Bears,Charles Tillman,,activated from IR,2014
2015-02-02,Bears,D.J. Williams (a),,activated from IR,2014
2015-02-02,Bears,Darryl Sharpton,,activated from IR,2014
2015-02-02,Bears,Lamarr Houston,,activated from IR,2014
2015-02-02,Bears,Lance Briggs,,activated from IR,2014
2015-02-02,Bears,Matt Slauson,,activated from IR,2014
2015-02-02,Bears,Willie Young (James),,activated from IR,2014
2015-02-02,Bears,Zach Miller (Scott),,activated from IR,2014
2015-02-02,Bengals,(E.) Alex Smith,,activated from IR,2014
2015-02-02,Bengals,Dane Sanzenbacher,,activated from IR,2014
2015-02-02,Bengals,Jayson DiManche,,activated from IR,2014
2015-02-02,Bengals,Marvin Jones Jr.,,activated from IR,2014
2015-02-02,Bengals,Sean Porter,,activated from IR,2014
2015-02-02,Bengals,Trey Hopkins,,activated from IR,2014
2015-02-02,Bengals,Vontaze Burfict,,activated from IR,2014
2015-02-02,Bills,Chris Williams (Joseph),,activated from IR,2014
2015-02-02,Bills,Jonathan Meeks,,activated from IR,2014
2015-02-02,Bills,Kenny Ladler,,activated from IR,2014
2015-02-02,Bills,Kiko Alonso,,activated from physically unable to perform list,2014
2015-02-02,Bills,Leodis McKelvin,,activated from IR,2014
2015-02-02,Bills,Mario Butler,,activated from IR,2014
2015-02-02,Bills,Stevenson Sylvester,,activated from IR,2014
2015-02-02,Broncos,Danny Trevathan,,activated from IR,2014
2015-02-02,Broncos,John Youboty,,activated from IR,2014
2015-02-02,Broncos,Jordan Norwood,,activated from IR,2014
2015-02-02,Broncos,Kenny Anunike,,activated from IR,2014
2015-02-02,Broncos,Montee Ball,,activated from IR,2014
2015-02-02,Broncos,Nate Irving,,activated from IR,2014
2015-02-02,Broncos,Quanterus Smith,,activated from IR,2014
2015-02-02,Broncos,Quinton Carter,,activated from IR,2014
2015-02-02,Browns,Alex Mack,,activated from IR,2014
2015-02-02,Browns,Andre Smith (b),,activated from IR,2014
2015-02-02,Browns,Armonty Bryant,,activated from IR,2014
2015-02-02,Browns,Darius Eubanks,,activated from IR,2014
2015-02-02,Browns,Ishmaa'ily Kitchen,,activated from IR,2014
2015-02-02,Browns,Johnny Manziel,,activated from IR,2014
2015-02-02,Browns,Michael Bowie,,activated from IR,2014
2015-02-02,Browns,Miles Austin,,activated from IR,2014
2015-02-02,Browns,Phil Taylor,,activated from IR,2014
2015-02-02,Browns,Tashaun Gipson,,activated from IR,2014
2015-02-02,Buccaneers,Adrian Clayborn,,activated from IR,2014
2015-02-02,Buccaneers,Austin Seferian-Jenkins,,activated from IR,2014
2015-02-02,Buccaneers,Brandon Magee,,activated from IR,2014
2015-02-02,Buccaneers,Gerald McCoy,,activated from IR,2014
2015-02-02,Buccaneers,Jorvorskie Lane,,activated from IR,2014
2015-02-02,Buccaneers,Kadeem Edwards,,activated from IR,2014
2015-02-02,Buccaneers,Louis Murphy Jr.,,activated from IR,2014
2015-02-02,Buccaneers,Major Wright,,activated from IR,2014
2015-02-02,Buccaneers,Mike Jenkins (b),,activated from IR,2014
2015-02-02,Cardinals,Andre Ellington,,activated from IR,2014
2015-02-02,Cardinals,Carson Palmer,,activated from IR,2014
2015-02-02,Cardinals,Darnell Dockett,,activated from IR,2014
2015-02-02,Cardinals,Dave Zastudil,,activated from IR,2014
2015-02-02,Cardinals,Ed Stinson,,activated from IR,2014
2015-02-02,Cardinals,Eddie Whitley,,activated from IR,2014
2015-02-02,Cardinals,John Abraham,,activated from IR,2014
2015-02-02,Cardinals,Jonathan Dwyer,,activated from physically unable to perform list,2014
2015-02-02,Cardinals,Troy Niklas,,activated from IR,2014
2015-02-02,Chargers,Alvin Scioneaux,,activated from IR,2014
2015-02-02,Chargers,Damik Scafe,,activated from IR,2014
2015-02-02,Chargers,Danny Woodhead,,activated from IR,2014
2015-02-02,Chargers,Donald Butler,,activated from IR,2014
2015-02-02,Chargers,Doug Legursky,,activated from IR,2014
2015-02-02,Chargers,Jason Verrett,,activated from IR,2014
2015-02-02,Chargers,Johnnie Troutman,,activated from IR,2014
2015-02-02,Chargers,Mike Scifres,,activated from IR,2014
2015-02-02,Chargers,Rich Ohrnberger,,activated from IR,2014
2015-02-02,Chargers,Ricky Tjong-A-Tjoe,,activated from IR,2014
2015-02-02,Chiefs,A.J. Jenkins (b),,activated from IR,2014
2015-02-02,Chiefs,Cyrus Gray,,activated from IR,2014
2015-02-02,Chiefs,Demetrius Harris,,activated from IR,2014
2015-02-02,Chiefs,Derrick Johnson (O.),,activated from IR,2014
2015-02-02,Chiefs,Dezman Moses,,activated from IR,2014
2015-02-02,Chiefs,Eric Berry,,activated from physically unable to perform list,2014
2015-02-02,Chiefs,Jeff Allen (b. 1990-01-08),,activated from IR,2014
2015-02-02,Chiefs,Joe McKnight,,activated from IR,2014
2015-02-02,Chiefs,Mike Catapano,,activated from IR,2014
2015-02-02,Chiefs,Mike Devito,,activated from IR,2014
2015-02-02,Chiefs,Sanders Commings,,activated from IR,2014
2015-02-02,Chiefs,Tyler Bray (Ian),,activated from IR,2014
2015-02-02,Colts,Aaron Morgan,,activated from IR,2014
2015-02-02,Colts,Ahmad Bradshaw,,activated from IR,2014
2015-02-02,Colts,Cam Johnson,,activated from IR,2014
2015-02-02,Colts,Daniel Adongo,,activated from IR,2014
2015-02-02,Colts,Delano Howell,,activated from IR,2014
2015-02-02,Colts,Donald Thomas,,activated from IR,2014
2015-02-02,Colts,Fili Moala,,activated from IR,2014
2015-02-02,Colts,Gosder Cherilus,,activated from IR,2014
2015-02-02,Colts,Hugh Thornton,,activated from IR,2014
2015-02-02,Colts,Jeris Pendleton,,activated from IR,2014
2015-02-02,Colts,Matt Hall,,activated from IR,2014
2015-02-02,Colts,Shawn Loiseau,,activated from IR,2014
2015-02-02,Colts,Ulrick John,,activated from IR,2014
2015-02-02,Colts,Vick Ballard,,activated from IR,2014
2015-02-02,Cowboys,Amobi Okoye,,activated from physically unable to perform list,2014
2015-02-02,Cowboys,Ben Gardner,,activated from IR,2014
2015-02-02,Cowboys,Chris Whaley,,activated from physically unable to perform list,2014
2015-02-02,Cowboys,Darrion Weems,,activated from IR,2014
2015-02-02,Cowboys,DeVonte Holloman,,activated from IR,2014
2015-02-02,Cowboys,Henry Melton,,activated from IR,2014
2015-02-02,Cowboys,Jack Crawford,,activated from IR,2014
2015-02-02,Cowboys,Justin Durant,,activated from IR,2014
2015-02-02,Cowboys,Morris Claiborne,,activated from IR,2014
2015-02-02,Cowboys,Sean Lee,,activated from IR,2014
2015-02-02,Dolphins,A.J. Francis,,activated from IR,2014
2015-02-02,Dolphins,Anthony Johnson (b. 1993-01-24),,activated from IR,2014
2015-02-02,Dolphins,Arthur Lynch,,activated from IR,2014
2015-02-02,Dolphins,Branden Albert,,activated from IR,2014
2015-02-02,Dolphins,Dannell Ellerbe,,activated from IR,2014
2015-02-02,Dolphins,Jamar Taylor,,activated from IR,2014
2015-02-02,Dolphins,Kamal Johnson,,activated from IR,2014
2015-02-02,Dolphins,Knowshon Moreno,,activated from IR,2014
2015-02-02,Dolphins,Louis Delmas,,activated from IR,2014
2015-02-02,Dolphins,Michael Thomas (b. 1990-03-17),,activated from IR,2014
2015-02-02,Dolphins,Mike Gillislee,,activated from IR,2014
2015-02-02,Dolphins,Sammy Seamster,,activated from IR,2014
2015-02-02,Dolphins,Will Davis,,activated from IR,2014
2015-02-02,Eagles,Allen Barbre,,activated from IR,2014
2015-02-02,Eagles,DeMeco Ryans,,activated from IR,2014
2015-02-02,Eagles,Earl Wolff,,activated from IR,2014
2015-02-02,Eagles,Najee Goode,,activated from IR,2014
2015-02-02,Eagles,Todd Herremans,,activated from IR,2014
2015-02-02,Eagles,Travis Long,,activated from IR,2014
2015-02-02,Falcons,Antone Smith,,activated from IR,2014
2015-02-02,Falcons,Joe Hawley,,activated from IR,2014
2015-02-02,Falcons,Lamar Holmes,,activated from IR,2014
2015-02-02,Falcons,Marquis Spruill,,activated from IR,2014
2015-02-02,Falcons,Mike Johnson (P.),,activated from IR,2014
2015-02-02,Falcons,Peter Konz,,activated from IR,2014
2015-02-02,Falcons,Robert Alford,,activated from IR,2014
2015-02-02,Falcons,Sam Baker (b),,activated from IR,2014
2015-02-02,Falcons,Sean Weatherspoon,,activated from IR,2014
2015-02-02,Falcons,William Moore,,activated from IR,2014
2015-02-02,Falcons,Zeke Motta,,activated from physically unable to perform list,2014
2015-02-02,Giants,Adam Snyder,,activated from IR,2014
2015-02-02,Giants,Cooper Taylor,,activated from IR,2014
2015-02-02,Giants,David Wilson (Emmanuel),,activated from IR,2014
2015-02-02,Giants,Geoff Schwartz,,activated from IR,2014
2015-02-02,Giants,Jacquian Williams,,activated from IR,2014
2015-02-02,Giants,James Brewer,,activated from IR,2014
2015-02-02,Giants,Jon Beason,,activated from IR,2014
2015-02-02,Giants,Marcus Harris (b),,activated from IR,2014
2015-02-02,Giants,Mathias Kiwanuka,,activated from IR,2014
2015-02-02,Giants,Michael Cox,,activated from IR,2014
2015-02-02,Giants,Peyton Hillis,,activated from IR,2014
2015-02-02,Giants,Prince Amukamara,,activated from IR,2014
2015-02-02,Giants,Robert Ayers Jr.,,activated from IR,2014
2015-02-02,Giants,Terrell Manning,,activated from IR,2014
2015-02-02,Giants,Tim Jernigan / Timmy Jernigan,,activated from IR,2014
2015-02-02,Giants,Travis Howard,,activated from IR,2014
2015-02-02,Giants,Troy Kropog,,activated from IR,2014
2015-02-02,Giants,Trumaine McBride,,activated from IR,2014
2015-02-02,Giants,Victor Cruz,,activated from IR,2014
2015-02-02,Giants,Walter Thurmond III,,activated from IR,2014
2015-02-02,Jaguars,Allen Robinson II,,activated from IR,2014
2015-02-02,Jaguars,Austin Pasztor,,activated from IR,2014
2015-02-02,Jaguars,Bradie Ewing,,activated from IR,2014
2015-02-02,Jaguars,Damian Copeland,,activated from IR,2014
2015-02-02,Jaguars,Denard Robinson,,activated from IR,2014
2015-02-02,Jaguars,Fendi Onobun,,activated from IR,2014
2015-02-02,Jaguars,John Lotulelei,,activated from IR,2014
2015-02-02,Jaguars,Khairi Fortt,,activated from IR,2014
2015-02-02,Jaguars,Paul Posluszny,,activated from IR,2014
2015-02-02,Jaguars,Rashaad Reynolds,,activated from IR,2014
2015-02-02,Jaguars,Tandon Doss,,activated from IR,2014
2015-02-02,Jaguars,Will Blackmon,,activated from IR,2014
2015-02-02,Jets,Brian Winters,,activated from IR,2014
2015-02-02,Jets,Dee Milliner,,activated from IR,2014
2015-02-02,Jets,Dexter McDougle,,activated from IR,2014
2015-02-02,Jets,Greg Salas,,activated from IR,2014
2015-02-02,Jets,Jermaine Cunningham,,activated from IR,2014
2015-02-02,Jets,Rontez Miles,,activated from IR,2014
2015-02-02,Jets,Shaquelle Evans / Shaq Evans,,activated from IR,2014
2015-02-02,Jets,Tommy Bohanon,,activated from IR,2014
2015-02-02,Lions,Corey Hilliard,,activated from IR,2014
2015-02-02,Lions,Dwight Bentley / Bill Bentley,,activated from IR,2014
2015-02-02,Lions,Joseph Fauria,,activated from IR,2014
2015-02-02,Lions,LaAdrian Waddle,,activated from IR,2014
2015-02-02,Lions,Nevin Lawson,,activated from IR,2014
2015-02-02,Lions,Stephen Tulloch,,activated from IR,2014
2015-02-02,Lions,T.J. Jones,,activated from physically unable to perform list,2014
2015-02-02,Lions,Travis Lewis,,activated from IR,2014
